GNAME|GNTYPE|LATDMS|LONDMS|ELEV|TOWNNAME
Bald Mountain|Summit|43.58145760|-72.92593810|628|MENDON
Bald Mountain|Summit|43.58368040|-72.68815390|732|BRIDGEWATER
Bald Mountain|Summit|43.61284360|-73.40594710|328|WEST HAVEN
Bald Mountain|Summit|44.21478160|-72.74539260|767|WAITSFIELD
Bald Mountain|Summit|44.76643870|-71.98843000|1008|WESTMORE
Bald Mountain Brook|Stream|44.79810490|-71.99231900|494|CHARLESTON
Bald Top|Summit|43.93090110|-72.18898010|525|FAIRLEE
Baldwin Hill|Summit|44.49089060|-71.71120000|589|LUNENBURG
Baldwin School|School|44.29366480|-73.13428970|131|HINESBURG
Ball Hill|Summit|43.36201750|-72.62731610|573|CAVENDISH
Ball Island|Island|44.76171070|-73.21596600|35|ST. ALBANS TOWN
Balm of Gilead Point|Cape|44.90781890|-73.26929710|30|ALBURG
Baltimore|Populated Place|43.36035100|-72.57314780|330|BALTIMORE
Bancroft Pond|Lake|44.24728270|-72.38204600|448|PLAINFIELD
Bangall School|School|43.74339630|-73.23927990|117|BENSON
Baptist Hill|Summit|44.44311400|-71.72286640|463|LUNENBURG
Baptist Hill Cemetery|Cemetery|44.43894730|-71.72508870|433|LUNENBURG
Baptist Hill School|School|44.45005820|-71.71036610|394|LUNENBURG
Baptist Street School|School|44.10672980|-72.50343660|464|WILLIAMSTOWN
Barber Cemetery|Cemetery|44.30116330|-73.25456940|92|CHARLOTTE
Barber Hill|Summit|44.30310770|-73.25873620|102|CHARLOTTE
Barber Ledge|Cliff|43.73534150|-73.19900130|295|HUBBARDTON
Barber Mountain|Summit|43.47507020|-73.09871760|456|MIDDLETOWN SPRINGS
Barbos Lake|Reservoir|43.14535450|-73.14816190|562|SANDGATE
Barden Cemetery|Cemetery|43.42979340|-73.14177350|392|WELLS
Barker Brook|Stream|43.49229270|-72.65648480|527|PLYMOUTH
Coldwater Brook|Stream|44.28256000|-72.26704260|328|GROTON
Cole Hill|Summit|43.35201760|-73.22899680|368|PAWLET
Cole Hill|Summit|44.99699060|-71.66981320|519|CANAAN
Cole School|School|44.53838570|-72.66622910|393|MORRISTOWN
Coleman Brook|Stream|43.42229390|-72.70898560|321|LUDLOW
Coleman Corner|Populated Place|44.25866450|-73.22179030|62|FERRISBURG
Coles Pond|Reservoir|44.50894340|-72.21426850|667|WALDEN
Colley Hill|Summit|43.16479940|-72.46897750|244|ROCKINGHAM
Collins Cemetery|Cemetery|42.89452560|-72.72426050|294|MARLBORO
Collins Cemetery|Cemetery|44.22810990|-73.19428920|129|FERRISBURG
Collins Pond|Lake|44.62144020|-72.50427780|374|HYDE PARK
Colton Hill|Summit|43.95284460|-72.36676310|727|VERSHIRE
Comtois Hill|Summit|43.50312560|-72.84760140|604|SHREWSBURY
Conant Swamp|Swamp|43.82645840|-72.19731210|142|THETFORD
Concord|Populated Place|44.42894710|-71.89009230|271|CONCORD
Concord Corner|Populated Place|44.40144780|-71.86148020|459|CONCORD
Cones Point|Cape|43.46423690|-73.20983020|150|POULTNEY
Conkey Hill|Summit|43.79561740|-73.26789270|225|ORWELL
Converse Bay|Bay|44.28755210|-73.28984790|29|CHARLOTTE
Conway Dam|Dam|44.95032470|-71.68398020|625|AVERILL
Conway Swamp|Swamp|43.78228410|-73.28317060|204|ORWELL
Cook Cemetery|Cemetery|43.39451640|-73.07482790|496|DANBY
Cook Hill|Summit|44.02673240|-72.31592960|488|CORINTH
Cook Hill|Summit|44.57505260|-72.33788360|517|GREENSBORO
Cooks Brook|Stream|44.82782550|-72.75624160|210|BAKERSFIELD
Cooks Hill|Summit|43.88367930|-72.30287120|491|STRAFFORD
Cooks Pond|Lake|43.37673990|-72.45009010|328|WEATHERSFIELD
Cooks Pond|Lake|43.51173660|-72.85399050|533|SHREWSBURY
Cooks School|School|44.81810340|-72.73262850|285|BAKERSFIELD
Cookville|Populated Place|44.02367700|-72.28981770|341|CORINTH
Cookville Brook|Stream|44.01256630|-72.26037220|249|CORINTH
Cook Pond|Lake|43.43007160|-72.70704120|356|LUDLOW
Coombs Hill|Summit|44.72921580|-72.93124910|463|FLETCHER
Coon Point|Cape|44.86587460|-73.30402050|30|ALBURG
Coons Den|Summit|43.66284270|-73.25788980|293|FAIR HAVEN
Cooper Bay|Bay|44.69393310|-73.28902010|29|GRAND ISLE
Cooper Brook|Stream|44.50949830|-72.37205120|249|HARDWICK
Cooper Point|Cape|44.68976650|-73.28790890|33|GRAND ISLE
Cooper Point|Cape|44.89615190|-73.31513190|33|ISLE LA MOTTE
Coote Field|Park|44.80921230|-73.09096990|112|ST. ALBANS CITY
Copperas Brook|Stream|43.83145770|-72.32675980|238|STRAFFORD
Copperas Hill|Summit|43.82451320|-72.33759340|446|STRAFFORD
Corez Pond|Lake|44.76004860|-72.52344590|372|EDEN
Corinth Corner|Populated Place|44.02228820|-72.27259500|310|CORINTH
Corinth Corners|Populated Place|44.01006590|-72.34898580|451|CORINTH
Cornwall|Populated Place|43.96089300|-73.21039510|107|CORNWALL
Corr Hill|Summit|44.87754770|-71.57842070|530|LEMINGTON
Cotton Brook|Stream|44.41866570|-72.75623050|181|WATERBURY
Cotton Hill|Summit|43.58923710|-72.42703670|372|HARTLAND
Fish Bladder Island|Island|44.67198930|-73.25318580|34|SOUTH HERO
Fish Cemetery|Cemetery|44.06061980|-72.47899040|439|WASHINGTON
Fish Hill|Summit|43.63978720|-73.39622540|161|WEST HAVEN
Fish Hill|Summit|43.90978800|-72.62065820|408|RANDOLPH
Fisher Brook|Stream|44.86338140|-71.68648000|399|LEWIS
Fisher Hill|Summit|44.70782770|-72.26788180|599|GLOVER
Fisk Point|Cape|44.84837430|-73.36652220|29|ISLE LA MOTTE
Fisk School|School|44.78393800|-72.12260020|398|BARTON
Fitch Brook|Stream|44.63171990|-71.70231220|423|GRANBY
Five Corners|Locale|43.52673670|-72.67704150|405|PLYMOUTH
Five Corners|Locale|43.87284650|-72.23036920|293|THETFORD
Fivemile Point|Cape|43.90478090|-73.39373140|29|SHOREHAM
Flagg Brook|Stream|44.57588610|-72.24399180|377|GREENSBORO
Flagg Pond|Lake|44.56533110|-72.20732410|486|WHEELOCK
"Flamstead| Mount"|Summit|43.28035250|-72.58842530|334|CHESTER
Flanders Hill|Summit|43.73007030|-72.30147990|305|NORWICH
Flat Hill|Summit|43.23729830|-73.21927420|403|RUPERT
Flat Rock|Pillar|44.26616350|-73.29595880|29|CHARLOTTE
Flat Rock|Summit|43.55090230|-73.00455070|375|CLARENDON
Fletcher|Populated Place|44.68338290|-72.91374550|193|FLETCHER
Fletcher Hill|Summit|43.57062540|-72.57787270|587|WOODSTOCK
Fletcher Mountain|Summit|44.71893810|-72.79846190|648|FLETCHER
Fleury Bay|Bay|44.84004120|-73.35957760|29|ISLE LA MOTTE
Flint Brook|Stream|43.95423130|-72.72594020|227|BRAINTREE
Float Bridge|Bridge|43.67728730|-73.19788910|125|CASTLETON
Florence|Populated Place|43.71645450|-73.06149870|134|PITTSFORD
"Florona| Mount"|Summit|44.23838790|-73.15734450|208|MONKTON
Flower Brook|Stream|44.62783100|-71.89981650|287|BURKE
Flynn Hill|Summit|44.54672250|-71.59786370|391|GUILDHALL
Flynn Hill|Summit|44.55671760|-72.89346010|576|UNDERHILL
Flynn School|School|43.85395510|-72.65260250|208|BETHEL
J J Flynn Elementary School|School|44.51727020|-73.25985100|50|BURLINGTON
Folsom Elementary School|School|44.63587870|-73.30207550|55|SOUTH HERO
Johns Brook|Stream|44.36727610|-72.96734460|130|RICHMOND
Johns River|Stream|44.99421270|-72.18482370|208|DERBY
Johnson|Populated Place|44.63560630|-72.68039790|152|JOHNSON
Johnson Brook|Stream|43.70701190|-72.72176800|356|STOCKBRIDGE
Johnson Pond|Lake|43.51812540|-72.84537930|533|SHREWSBURY
Johnson Pond|Lake|43.76672940|-73.22372470|135|ORWELL
Johnson Pond|Lake|44.49061250|-71.86703700|338|KIRBY
Joiner Brook|Stream|44.37088790|-72.87984310|101|BOLTON
Jolly Mountain|Summit|42.77786040|-72.72398230|607|HALIFAX
Jones Brook|Stream|44.25533420|-72.96178620|251|HUNTINGTON
Jones Brook|Stream|44.57338560|-72.50983360|203|WOLCOTT
Jones Brook|Stream|44.58005470|-71.78314710|406|GRANBY
Jones Brook|Stream|44.55561110|-71.60036380|262|GUILDHALL
Horse Pond|Lake|44.61755210|-72.21065770|410|GREENSBORO
Horseback Ridge|Ridge|43.45673870|-72.39842400|217|WINDSOR
Horseneck Island|Island|44.96476860|-72.20260200|208|NEWPORT CITY
Horseshoe Shoal|Bar|44.84615260|-73.31429860|29|NORTH HERO
Benson Bay|Bay|43.76533960|-73.34567160|25|ORWELL
Benson Landing|Populated Place|43.72839590|-73.36761580|29|BENSON
Berkshire|Populated Place|44.97171240|-72.77541480|215|BERKSHIRE
Berkshire Cemetery|Cemetery|44.95949030|-72.77319220|189|BERKSHIRE
Berlin Corners|Populated Place|44.21006040|-72.57594140|314|BERLIN
Berlin Corner School|School|44.21561590|-72.57483040|293|BERLIN
Berlin Pond|Reservoir|44.19033860|-72.58788590|297|BERLIN
Bethel|Populated Place|43.83339990|-72.63399030|174|BETHEL
Bethel Gilead|Locale|43.87645460|-72.69149290|281|BETHEL
Betterley Cemetery|Cemetery|42.92591430|-72.64981450|412|NEWFANE
Bible Hill|Summit|44.47366810|-71.99342830|379|ST. JOHNSBURY
Bickford School|School|44.63171890|-72.13232220|381|SHEFFIELD
Bicknell Brook|Stream|43.94562190|-72.45648760|201|TUNBRIDGE
Biddie Knob|Summit|43.71339850|-73.10983290|587|PITTSFORD
Big Bluff|Cliff|44.93587410|-73.25957450|37|ALBURG
Big Brook|Stream|43.77422840|-73.34289400|25|ORWELL
Big Brook|Stream|43.93395660|-72.13981220|128|FAIRLEE
Big Dam|Dam|44.82671530|-71.70648050|367|BLOOMFIELD
Big Falls|Falls|44.97226780|-72.38483070|180|TROY
Big Hollow Brook|Stream|43.59784410|-73.38677970|30|WEST HAVEN
Big Jay|Summit|44.91587950|-72.54039390|1117|WESTFIELD
Big Marsh Slough|Gut|44.97226360|-73.14262920|29|HIGHGATE
Big Muddy Pond|Lake|44.75588190|-72.59956160|422|EDEN
Big Rock Hill|Summit|44.68255100|-72.14815620|661|SHEFFIELD
Big Spring|Spring|44.54838500|-72.79345650|534|CAMBRIDGE
Big Valley Brook|Stream|44.70505070|-72.09898820|384|BARTON
Bigelow Basin|Basin|44.72810480|-72.46205430|716|EDEN
Billings Cemetery|Cemetery|42.73508310|-72.64786940|336|GUILFORD
Gorham Bridge|Bridge|43.68006660|-73.03816440|128|PROCTOR
Gorham Lodge|Building|44.32977770|-72.88234220|904|HUNTINGTON
Goshen|Populated Place|44.04923220|-72.14814740|335|NEWBURY
Goslant Pond|Lake|44.30283710|-72.30426660|416|PEACHAM
Goudreault Hill|Summit|44.44172480|-71.84703600|614|CONCORD
Gould Brook|Stream|43.53951380|-72.87454710|416|SHREWSBURY
Goulden Ridge|Ridge|43.38451750|-72.44509020|415|WEATHERSFIELD
Goulds Mill|Populated Place|43.27118620|-72.44925560|90|SPRINGFIELD
Goupee Brook|Stream|44.78532720|-71.82676070|353|BRIGHTON
Gove Hill|Summit|43.82423570|-72.31537050|386|THETFORD
Governors Mountain|Summit|42.82619320|-72.66814800|481|GUILFORD
Governors Right School|School|44.55116160|-72.97012910|323|UNDERHILL
Grafton|Populated Place|43.17174350|-72.60620310|256|GRAFTON
Grafton State Forest|Forest|43.16257690|-72.63925940|439|GRAFTON
Graham Hill|Summit|43.61923320|-73.18899890|188|CASTLETON
Grahamville|Populated Place|43.41979400|-72.70676330|322|LUDLOW
Granby|Populated Place|44.57061060|-71.75870210|430|GRANBY
Granby Bog|Swamp|44.63588640|-71.69425640|414|GRANBY
Granby Brook|Stream|44.54949990|-71.76981320|356|VICTORY
Granby Mountain|Summit|44.67116250|-72.11398850|727|SHEFFIELD
Granby Stream|Stream|44.65033040|-71.68536740|362|FERDINAND
Grand Isle|Populated Place|44.72254360|-73.29235380|54|GRAND ISLE
Grand Isle Cemetery|Cemetery|44.71643260|-73.29735390|55|GRAND ISLE
Grand Isle Ferry|Locale|44.69282150|-73.36179940|29|GRAND ISLE
Grand Isle State Park|Park|44.68865540|-73.29707580|48|GRAND ISLE
Grand Isle Station|Populated Place|44.70059940|-73.32929880|66|GRAND ISLE
Grandmadam Hill|Summit|43.64562440|-72.61593060|590|BRIDGEWATER
Grandpa Knob|Summit|43.65784420|-73.09483160|491|WEST RUTLAND
Grandview Cemetery|Cemetery|44.08450050|-73.30234410|99|ADDISON
Graniteville|Populated Place|44.15117320|-72.49288150|391|BARRE TOWN
Grannyhand Hill|Summit|43.86006810|-72.36648350|408|STRAFFORD
Grant Brook|Stream|43.36951710|-72.72037430|445|LUDLOW
Grass Pond|Lake|43.54701400|-72.73704360|481|PLYMOUTH
Grassy Brook|Stream|42.98341370|-72.63231430|119|NEWFANE
Graves Brook|Stream|44.34116750|-72.76178470|121|WATERBURY
Graves Cemetery|Cemetery|44.40755880|-71.84620230|458|CONCORD
Graves Hill|Summit|44.53838880|-71.96981730|449|LYNDON
Graveyard Point|Cape|44.83198640|-73.28568690|29|NORTH HERO
Gray Brook|Stream|44.79893820|-71.99120790|490|CHARLESTON
Grays Mountain|Summit|44.63755220|-72.12093300|529|SHEFFIELD
Grays Pond|Lake|44.49616760|-71.99009530|212|ST. JOHNSBURY
Great Back Bay|Bay|44.60337980|-73.23235200|29|COLCHESTER
Great Brook|Stream|43.33174050|-72.51897930|141|SPRINGFIELD
Great Brook|Stream|44.29005810|-72.67233600|146|MIDDLESEX
Great Brook|Stream|44.27728170|-72.42788160|222|PLAINFIELD
Great Hosmer Pond|Lake|44.69477220|-72.36066240|344|ALBANY
Great Roaring Brook|Stream|43.53868070|-72.74426580|386|PLYMOUTH
Green Bay|Populated Place|44.30478190|-72.20231930|474|PEACHAM
Green Mount Cemetery|Cemetery|44.25783700|-72.59649880|174|MONTPELIER
Green Mountain|Summit|44.92643620|-71.72787080|820|AVERILL
Green Mountain Cabins|Locale|44.35922230|-72.79789680|127|WATERBURY
Green Mountain Camp|Locale|43.74811900|-73.19927940|183|HUBBARDTON
Green Mountain School|School|44.26117050|-72.55955300|228|MONTPELIER
Green Mountain Union High School|School|43.25313080|-72.58203590|185|CHESTER
Green Point|Cape|44.83059760|-73.27846450|31|NORTH HERO
Green River|Populated Place|42.77591590|-72.66814780|217|GUILFORD
Green River|Stream|44.57227450|-72.51538930|203|WOLCOTT
Green River Reservoir|Reservoir|44.62560680|-72.53122370|364|HYDE PARK
Green School|School|44.98643530|-72.03870890|360|HOLLAND
Greenbush|Populated Place|43.41701660|-72.51786900|189|WEATHERSFIELD
Greenmount Cemetery|Cemetery|44.48366030|-73.18623860|89|BURLINGTON
Greens Brook|Stream|44.93532480|-72.10204390|293|DERBY
Greens Corners|Populated Place|44.86032320|-73.03235790|122|SWANTON
Greensboro|Populated Place|44.57644150|-72.29566010|425|GREENSBORO
Greensboro Bend|Populated Place|44.54894220|-72.26482570|361|GREENSBORO
Greensboro Brook|Stream|44.52810930|-72.28427070|338|HARDWICK
Barnes Bay|Bay|44.64254500|-73.34735430|29|SOUTH HERO
Barnes Brook|Stream|44.47227650|-72.53205600|372|ELMORE
Barnes Brook|Stream|44.52283370|-71.94426110|338|KIRBY
Barnes Camp|Locale|44.53282980|-72.78651140|469|STOWE
Barnes Hill|Summit|44.40949960|-72.68650540|369|WATERBURY
Barnet|Populated Place|44.29700510|-72.04926050|172|BARNET
Barnet Center|Locale|44.31311570|-72.08870600|274|BARNET
Barnet Mountain|Summit|44.31339360|-72.04176060|369|BARNET
Barney Point|Cape|44.54532510|-73.29429660|35|COLCHESTER
Barnum Hill|Summit|43.85700470|-73.31845080|154|SHOREHAM
Barnum Hill School|School|43.85894920|-73.31817300|141|SHOREHAM
Barnumtown|Populated Place|44.20811070|-73.16345500|146|MONKTON
Barr Hill|Summit|44.61144080|-72.28982670|645|GREENSBORO
Barre|Populated Place|44.19700550|-72.50204940|190|BARRE CITY
Barron Hill|Summit|43.61673680|-72.43787040|435|HARTLAND
Barrows Brook|Stream|44.44560970|-72.73595260|199|STOWE
Barrows Camp|Locale|44.68949410|-72.72429000|489|JOHNSON
Bartlett Brook|Stream|43.67729120|-72.53092870|264|POMFRET
Bartlett Hill|Summit|44.25228240|-72.42038080|406|PLAINFIELD
Bartlett Hill|Summit|44.66893870|-72.84457410|431|CAMBRIDGE
Barton|Populated Place|44.74810490|-72.17621280|285|BARTON
Barton Mountain|Summit|44.77254910|-72.14148950|684|BARTON
Barton River|Stream|44.90615820|-72.20954670|208|COVENTRY
Bartonsville|Populated Place|43.22563150|-72.53564560|150|ROCKINGHAM
Bascom Brook|Stream|43.91033770|-73.26400610|48|SHOREHAM
Bascom Cemetery|Cemetery|42.80535990|-72.79731780|555|HALIFAX
Basin Brook|Stream|43.68978990|-72.72287890|432|KILLINGTON
Basin Brook|Stream|44.74977090|-72.68456660|287|BELVIDERE
Basin Harbor|Bay|44.19644190|-73.36290360|29|FERRISBURG
Basin Harbor School|School|44.20394200|-73.34568110|64|FERRISBURG
